CustomerKey,FirstName,LastName,FullName,Gender,DateFirstPurchase,City,GeographyKey
11358,Cynthia,Malhotra,Cynthia Malhotra,Female,2018-06-28,Coffs Harbour,2
11749,Eduardo,Jackson,Eduardo Jackson,Male,2020-04-08,Coffs Harbour,2
11753,Felicia,Ortega,Felicia Ortega,Female,2020-04-19,Coffs Harbour,2
11918,Kaylee,Hill,Kaylee Hill,Female,2018-10-13,Coffs Harbour,2
11963,Antonio,Patterson,Antonio Patterson,Male,2018-10-22,Coffs Harbour,2
11997,Kristina,Kapoor,Kristina Kapoor,Female,2018-11-05,Coffs Harbour,2
12012,Monica,Schmidt,Monica Schmidt,Female,2020-02-13,Coffs Harbour,2
12571,Jennifer,Green,Jennifer Green,Female,2018-12-29,Coffs Harbour,2
12669,Irving,Schmidt,Irving Schmidt,Male,2019-02-07,Coffs Harbour,2
12677,Cedric,Liu,Cedric Liu,Male,2019-02-04,Coffs Harbour,2
12687,Marshall,Li,Marshall Li,Male,2019-03-17,Coffs Harbour,2
12695,Kari,Ruiz,Kari Ruiz,Female,2020-05-10,Coffs Harbour,2
13123,Kelli,Raji,Kelli Raji,Female,2019-06-14,Coffs Harbour,2
13620,Damien,Ye,Damien Ye,Male,2019-07-06,Coffs Harbour,2
13668,Stanley,Martinez,Stanley Martinez,Male,2020-02-06,Coffs Harbour,2
14007,Rebekah,Garcia,Rebekah Garcia,Female,2019-08-11,Coffs Harbour,2
14131,Javier,Navarro,Javier Navarro,Male,2019-08-08,Coffs Harbour,2
14217,Terrance,Lopez,Terrance Lopez,Male,2020-03-09,Coffs Harbour,2
14316,Leonard,Anand,Leonard Anand,Male,2019-08-30,Coffs Harbour,2
14322,Sydney,Thomas,Sydney Thomas,Female,2019-08-31,Coffs Harbour,2
15019,Mary,Ramos,Mary Ramos,Female,2020-03-12,Coffs Harbour,2
15042,Bryant,Perez,Bryant Perez,Male,2019-10-21,Coffs Harbour,2
15153,Kristen,Li,Kristen Li,Female,2020-02-23,Coffs Harbour,2
15262,Jan,Gonzalez,Jan Gonzalez,Female,2019-11-10,Coffs Harbour,2
15730,Philip,Dominguez,Philip Dominguez,Male,2020-08-19,Coffs Harbour,2
15793,Renee,Navarro,Renee Navarro,Female,2019-12-17,Coffs Harbour,2
16032,Colin,Chavez,Colin Chavez,Male,2020-02-23,Coffs Harbour,2
16168,Kathryn,Ashe,Kathryn Ashe,Female,2020-02-21,Coffs Harbour,2
16180,Kyle,Perez,Kyle Perez,Male,2019-12-26,Coffs Harbour,2
16610,Sydney,Clark,Sydney Clark,Female,2020-03-12,Coffs Harbour,2
16635,Erick,Suri,Erick Suri,Male,2020-04-18,Coffs Harbour,2
16680,Carlos,Edwards,Carlos Edwards,Male,2020-08-09,Coffs Harbour,2
